Country;Year;Region ;PolTerrorUSDept;RangoUSDept;  OilRentsDep  ; OilPrice ;  GDPpc2010  ;  RangoGDPpc2010  ;Destination;  ExpDepDest  ;  RegDestination  ;RegimenPetroState;Reserves;  Milex  ;ForeignInvest;PolAffinity;civtot;PredEthnic;WOP;CPI 
Algeria;2001;Africa;4;High;11.21;24.35;3600.44;  Low  ;UE;0.73;  Democracy  ;Closed Anocracy;9.2; 3.82 ;1113105541;CHINA;1;0.99;NOC;
Algeria;2002;Africa;4;High;11.79;24.93;3754.52;  Low  ;UE;0.58;  Democracy  ;Closed Anocracy;9.2; 3.70 ;1065000000;CHINA;1;0.99;NOC;2.6
Algeria;2003;Africa;4;High;14.20;28.90;3974.18;  Low  ;UE;0.48;  Democracy  ;Closed Anocracy;9.2; 3.25 ;637881239;CHINA;1;0.99;NOC;2.6
Algeria;2004;Africa;4;High;16.24;37.73;4091.14;  Medium  ;UE;0.45;  Democracy  ;Open Anocracy;11314.0; 3.28 ;881851385;CHINA;1;0.99;NOC;2.7
Algeria;2005;Africa;4;High;21.35;53.39;4273.31;  Medium  ;UE;0.45;  Democracy  ;Open Anocracy;11.8; 2.83 ;1156000000;CHINA;0;0.99;NOC;2.8
Algeria;2006;Africa;4;High;22.98;64.29;4282.33;  Medium  ;USA;0.39;  Democracy  ;Open Anocracy;11.35; 2.64 ;1841000000;CHINA;0;0.99;NOC;3.1
Algeria;2007;Africa;3;Medium;21.67;71.12;4359.38;  Medium  ;USA;0.44;  Democracy  ;Open Anocracy;12.27; 2.92 ;1686736540;CHINA;0;0.99;NOC;3.0
Algeria;2008;Africa;3;Medium;23.21;96.99;4390.50;  Medium  ;USA;0.37;  Democracy  ;Open Anocracy;12.2; 3.02 ;2638607034;CHINA;0;0.99;NOC;3.2
Algeria;2009;Africa;2;Low;15.27;61.76;4386.04;  Medium  ;USA;0.39;  Democracy  ;Open Anocracy;12.2; 3.85 ;2746930734;CHINA;0;0.99;NOC;2.8
Algeria;2010;Africa;3;Medium;17.65;79.04;4463.39;  Medium  ;USA;0.41;  Democracy  ;Open Anocracy;12.2; 3.52 ;2300369124;CHINA;0;0.99;NOC;2.9
Algeria;2011;Africa;3;Medium;20.35;104.01;4504.92;  Medium  ;UE;0.38;  Democracy  ;Open Anocracy;12.2; 4.33 ;2571237025;CHINA;0;0.99;NOC;2.9
Algeria;2012;Africa;2;Low;18.77;105.01;4564.44;  Medium  ;UE;0.48;  Democracy  ;Open Anocracy;12.2; 4.46 ;1500402453;CHINA;0;0.99;NOC;3.4
Algeria;2013;Africa;2;Low;17.36;104.08;4596.22;  Medium  ;UE;0.71;  Democracy  ;Open Anocracy;12.2; 4.84 ;1691886708;CHINA;0;0.99;NOC;3.6
Algeria;2014;Africa;3;Medium;15.71;96.24;4675.89;  Medium  ;UE;0.81;  Democracy  ;Open Anocracy;12.2; 5.55 ;1503453102;CHINA;0;0.99;NOC;3.6
Angola;2001;Africa;4;High;44.10;24.35;2119.33;  Low  ;USA;0.57;  Democracy  ;Closed Anocracy;5412.0; 4.52 ;2145470000;CHINA;1;0.37;IOC/ENOC;1.6
Angola;2002;Africa;4;High;37.10;24.93;1906.09;  Low  ;USA;0.48;  Democracy  ;Closed Anocracy;5412.0; 3.51 ;1743504000;CHINA;1;0.37;IOC/ENOC;1.7
Angola;2003;Africa;4;High;35.15;28.90;1936.60;  Low  ;USA;0.54;  Democracy  ;Closed Anocracy;5412.0; 4.72 ;3576971780;CHINA;0;0.37;IOC/ENOC;1.8
Angola;2004;Africa;4;High;44.31;37.73;2071.91;  Low  ;CHINA;0.41;  Autocracy  ;Closed Anocracy;5412.0; 4.16 ;2197227820;CHINA;0;0.37;IOC/ENOC;2.0
Angola;2005;Africa;4;High;59.21;53.39;2364.19;  Low  ;USA;0.42;  Democracy  ;Closed Anocracy;5412.0; 4.83 ;-1303836930;CHINA;0;0.37;IOC/ENOC;2.0
Angola;2006;Africa;3;Medium;53.59;64.29;2754.41;  Low  ;USA;0.41;  Democracy  ;Closed Anocracy;5412.0; 4.71 ;-37714860;CHINA;0;0.37;IOC/ENOC;2.2
Angola;2007;Africa;4;High;50.83;71.12;3258.48;  Low  ;CHINA;0.35;  Autocracy  ;Closed Anocracy;8.0; 3.36 ;-893342152;CHINA;0;0.37;IOC/ENOC;2.2
Angola;2008;Africa;3;Medium;57.59;96.99;3578.87;  Low  ;CHINA;0.35;  Autocracy  ;Closed Anocracy;9035.0; 3.76 ;1678971010;CHINA;0;0.37;IOC/ENOC;1.9
Angola;2009;Africa;4;High;27.65;61.76;3536.80;  Low  ;CHINA;0.40;  Autocracy  ;Closed Anocracy;9.04; 4.39 ;2205298180;CHINA;0;0.37;IOC/ENOC;1.9
Angola;2010;Africa;3;Medium;38.62;79.04;3529.05;  Low  ;CHINA;0.47;  Autocracy  ;Closed Anocracy;9.5; 4.24 ;-3227211182;CHINA;0;0.37;IOC/ENOC;1.9
Angola;2011;Africa;3;Medium;44.12;104.01;3538.72;  Low  ;CHINA;0.43;  Autocracy  ;Closed Anocracy;9.5; 3.50 ;-3023770966;CHINA;0;0.37;IOC/ENOC;2.0
Angola;2012;Africa;3;Medium;41.15;105.01;3591.03;  Low  ;CHINA;0.52;  Autocracy  ;Closed Anocracy;9.5; 3.59 ;-6897954559;CHINA;0;0.37;IOC/ENOC;2.2
Angola;2013;Africa;3;Medium;34.51;104.08;3702.60;  Low  ;CHINA;0.50;  Autocracy  ;Closed Anocracy;10.47; 4.88 ;-7120017424;CHINA;0;0.37;IOC/ENOC;2.3
Angola;2014;Africa;3;Medium;27.16;96.24;3747.57;  Low  ;CHINA;0.49;  Autocracy  ;Closed Anocracy;9.06; 5.40 ;1921699719;CHINA;0;0.37;IOC/ENOC;1.9
Azerbaijan;2001;Europa y Asia Central ;2;Low;22.89;24.35;1781.25;  Low  ;UE;0.98;  Democracy  ;Autocracy;1178.0; 2.31 ;819579000;CHINA;0;0.92;IOC;2.0
Azerbaijan;2002;Europa y Asia Central ;3;Medium;22.47;24.93;1955.41;  Low  ;UE;0.95;  Democracy  ;Autocracy;1178.0; 2.24 ;2024577000;CHINA;0;0.92;IOC;2.0
Azerbaijan;2003;Europa y Asia Central ;3;Medium;24.39;28.90;2158.01;  Low  ;UE;0.93;  Democracy  ;Autocracy;7.0; 2.43 ;4007330000;CHINA;0;0.92;IOC;1.8
Azerbaijan;2004;Europa y Asia Central ;3;Medium;26.81;37.73;2357.40;  Low  ;UE;0.75;  Democracy  ;Autocracy;7.0; 2.63 ;4719107000;CHINA;0;0.92;IOC;1.9
Azerbaijan;2005;Europa y Asia Central ;3;Medium;36.79;53.39;2949.44;  Low  ;UE;0.90;  Democracy  ;Autocracy;7.0; 2.30 ;4476396000;CHINA;0;0.92;IOC;2.2
Azerbaijan;2006;Europa y Asia Central ;2;Low;41.71;64.29;3923.66;  Low  ;UE;0.78;  Democracy  ;Autocracy;7.0; 3.42 ;4485966000;CHINA;0;0.92;IOC;2.4
